tss-1r_m1_rtka	Epoch	ns	1.0e-9&gt;s	Time Line	Start Time for the record		support_data											
tss-1r_m1_rtka	Negative_18V_WRA_1_Telemetry_Unitless		na	Negative 18V WRA	-18V WRA Monitor		data											
tss-1r_m1_rtka	Negative_18V_WRA_2_Voltage_volts	V	na	Negative 18V WRA	-18V WRA Monitor		data											
tss-1r_m1_rtka	Data_Quality_Negative_18V_WRA	Integer	na	Data_Quality_Negative_18V_WRA	Data Quality Indicator for Negative 18V WRA		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Negative_18V_WRA_CAL0		na	Voltage Correction; Sensor 8 s	Voltage Correction; Sensor 8 for Negative 18V WRA		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Negative_18V_WRA_CAL1		na	Voltage Correction; Sensor 10	Voltage Correction; Sensor 10 for Negative 18V WRA		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Negative_18V_WRA_CAL2		na	Voltage Correction; Sensor 11	Voltage Correction; Sensor 11 for Negative 18V WRA		data											
tss-1r_m1_rtka	Positive_6V_WRA_1_Telemetry_Unitless		na	Positive 6V WRA	+6V WRA Receiver Monitor		data											
tss-1r_m1_rtka	Positive_6V_WRA_2_Voltage_volts	V	na	Positive 6V WRA	+6V WRA Receiver Monitor		data											
tss-1r_m1_rtka	Data_Quality_Positive_6V_WRA	Integer	na	Data_Quality_Positive_6V_WRA	Data Quality Indicator for Positive 6V WRA		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Positive_6V_WRA_CAL0		na	Voltage Correction; Sensor 8 s	Voltage Correction; Sensor 8 for Positive 6V WRA		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Positive_6V_WRA_CAL1		na	Voltage Correction; Sensor 10	Voltage Correction; Sensor 10 for Positive 6V WRA		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Positive_6V_WRA_CAL2		na	Voltage Correction; Sensor 11	Voltage Correction; Sensor 11 for Positive 6V WRA		data											
tss-1r_m1_rtka	Positive_5V_DPU_1_Telemetry_Unitless		na	Positive 5V DPU	+5V DPU Monitor		data											
tss-1r_m1_rtka	Positive_5V_DPU_2_Voltage_volts	V	na	Positive 5V DPU	+5V DPU Monitor		data											
tss-1r_m1_rtka	Data_Quality_Positive_5V_DPU	Integer	na	Data_Quality_Positive_5V_DPU	Data Quality Indicator for Positive 5V DPU		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Positive_5V_DPU_CAL0		na	Voltage Correction; Sensor 8 s	Voltage Correction; Sensor 8 for Positive 5V DPU		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Positive_5V_DPU_CAL1		na	Voltage Correction; Sensor 10	Voltage Correction; Sensor 10 for Positive 5V DPU		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Positive_5V_DPU_CAL2		na	Voltage Correction; Sensor 11	Voltage Correction; Sensor 11 for Positive 5V DPU		data											
tss-1r_m1_rtka	Positive_12V_DPU_1_Telemetry_Unitless		na	Positive 12V DPU	+12V DPU Monitor		data											
tss-1r_m1_rtka	Positive_12V_DPU_2_Voltage_volts	V	na	Positive 12V DPU	+12V DPU Monitor		data											
tss-1r_m1_rtka	Data_Quality_Positive_12V_DPU	Integer	na	Data_Quality_Positive_12V_DPU	Data Quality Indicator for Positive 12V DPU		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Positive_12V_DPU_CAL0		na	Voltage Correction; Sensor 8 s	Voltage Correction; Sensor 8 for Positive 12V DPU		data											
