solo_l3_swa-his-comp-10min	S_O_ABUN			S_O_ABUN	Sulpher/Oxygen abundance		data											
solo_l3_swa-his-comp-10min	S_O_ABUN_ERR			S_O_ABUN_ERR	Sulpher/Oxygen abundance error/uncertainty		support_data											
solo_l3_swa-his-comp-10min	S_O_ABUN_QF			S_O_ABUN_QF	Sulpher/Oxygen abundance quality flag		support_data											
solo_l3_swa-his-comp-10min	N_O_ABUN			N_O_ABUN	Nitrogen/Oxygen abundance		data											
solo_l3_swa-his-comp-10min	N_O_ABUN_ERR			N_O_ABUN_ERR	Nitrogen/Oxygen abundance error/uncertainty		support_data											
solo_l3_swa-his-comp-10min	N_O_ABUN_QF			N_O_ABUN_QF	Nitrogen/Oxygen abundance quality flag		support_data											
solo_l3_swa-his-comp-10min	O_CHARGES			O_CHARGES	Oxygen charge states		support_data											
solo_l3_swa-his-comp-10min	C_CHARGES			C_CHARGES	Carbon charge states		support_data											
solo_l3_swa-his-comp-10min	FE_CHARGES			FE_CHARGES	Iron charge states		support_data											
solo_l3_swa-his-comp-10min	SI_CHARGES			SI_CHARGES	Silicon charge states		support_data											
solo_l3_swa-his-comp-10min	NE_CHARGES			NE_CHARGES	Neon charge states		support_data											
solo_l3_swa-his-comp-10min	MG_CHARGES			MG_CHARGES	Magnesium charge states		support_data											
solo_l3_swa-his-comp-10min	N_CHARGES			N_CHARGES	Nitrogen charge states		support_data											
solo_l3_swa-his-comp-10min	S_CHARGES			S_CHARGES	Sulpher charge states		support_data											
solo_l3_swa-his-comp-10min	O_CHARGE_LABELS			O_CHARGE_LABELS	Oxygen charge state labels		metadata											
solo_l3_swa-his-comp-10min	C_CHARGE_LABELS			C_CHARGE_LABELS	Carbon charge state labels		metadata											
solo_l3_swa-his-comp-10min	FE_CHARGE_LABELS			Fe_CHARGE_LABELS	Iron charge state labels		metadata											
solo_l3_swa-his-comp-10min	SI_CHARGE_LABELS			SI_CHARGE_LABELS	Silicon charge state labels		metadata											
solo_l3_swa-his-comp-10min	NE_CHARGE_LABELS			NE_CHARGE_LABELS	Neon charge state labels		metadata											
solo_l3_swa-his-comp-10min	MG_CHARGE_LABELS			MG_CHARGE_LABELS	Magnesium charge state labels		metadata											
solo_l3_swa-his-comp-10min	N_CHARGE_LABELS			N_CHARGE_LABELS	Nitrogen charge state labels		metadata											
solo_l3_swa-his-comp-10min	S_CHARGE_LABELS			S_CHARGE_LABELS	Sulpher charge state labels		metadata											
