Astro	cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	units	units_conversion	name	description	measurement_type	parameter_keyword	type	quantity	qualifier	instrument_id_000	instrument_id_001	coordinate_system_name	coordinate_representation	element__name_0	element__name_1	element__name_2	element__name_3
Astro	CDF_REAL4	1	0:[]	T/	OOOOO	solo_l2_epd-ept-asun-rates	HCI_Lat	&#176;		S/C Latitude	Spacecraft heliocentric latitude (HCI)		support_data											
Astro	CDF_REAL4	1	0:[]	T/	OOOOO	solo_l2_epd-ept-asun-rates	HCI_Lon	&#176;		S/C Longitude	Spacecraft heliocentric longitude (HCI)		support_data											
Astro	CDF_UINT1	1	0:[]	T/	OOOOO	solo_l2_epd-ept-asun-rates	QUALITY_FLAG			Quality flag	Data quality flag		support_data											
Astro	CDF_UINT2	1	0:[]	T/	OOOOO	solo_l2_epd-ept-asun-rates	QUALITY_BITMASK			Quality bitmask	Computer readable quality parameter		support_data											
Astro	CDF_UINT1	1	0:[]	T/	OOOOO	solo_l2_epd-ept-asun-rates	QUALITY_FLAG_1			Quality flag 1	Data quality flag		support_data											
Astro	CDF_UINT2	1	0:[]	T/	OOOOO	solo_l2_epd-ept-asun-rates	QUALITY_BITMASK_1			Quality bitmask 1	Computer readable quality parameter		support_data											
Astro	CDF_CHAR	1	1:[3]	F/T	OOOOO	solo_l2_epd-ept-asun-rates	RTN_Labels			RTN Labels	Labels for vector components in RTN coordinates		metadata											
Astro	CDF_CHAR	1	1:[3]	F/T	OOOOO	solo_l2_epd-ept-asun-rates	XYZ_Labels			Spacecraft XYZ Labels	Labels for vector components in spacecraft XYZ coordinates		metadata											
Astro	cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	units	units_conversion	name	description	measurement_type	parameter_keyword	type	quantity	qualifier	instrument_id_000	instrument_id_001	coordinate_system_name	coordinate_representation	element__name_0	element__name_1	element__name_2	element__name_3
Astro	CDF_TT2000	1	0:[]	T/	OOOOO	solo_l2_epd-ept-north-burst-ele-close	EPOCH	nanoseconds		Epoch	Nanoseconds since J2000		support_data											
Astro	CDF_UINT4	1	0:[]	T/	OOOOO	solo_l2_epd-ept-north-burst-ele-close	DELTA_EPOCH	s		Delta epoch	Accumulation period in seconds		support_data											
Astro	CDF_REAL4	1	1:[34]	T/T	OOOOO	solo_l2_epd-ept-north-burst-ele-close	Electron_Flux	particles / (s cm^2 sr MeV)	6.2415e16&gt;particles/(s m^2 sr J)	Electron Flux	Particle flux in foil channel		data											
Astro	CDF_REAL4	1	1:[34]	T/T	OOOOO	solo_l2_epd-ept-north-burst-ele-close	Electron_Uncertainty	particles / (s cm^2 sr MeV)	6.2415e16&gt;particles/(s m^2 sr J)	Electron Flux Uncertainty	Uncertainty in electron flux		support_data											
Astro	CDF_REAL4	1	1:[34]	T/T	OOOOO	solo_l2_epd-ept-north-burst-ele-close	Electron_Rate	counts / s		Electron Count Rate	Particle count rate in foil channel		support_data											
Astro	CDF_REAL4	1	1:[34]	F/T	OOOOO	solo_l2_epd-ept-north-burst-ele-close	Electron_Bins_Low_Energy	MeV	1.602e-13&gt;J	Electron Bins Low Energy	Lowest energy of each bin for electron flux		support_data											
Astro	CDF_REAL4	1	1:[34]	F/T	OOOOO	solo_l2_epd-ept-north-burst-ele-close	Electron_Bins_Width	MeV	1.602e-13&gt;J	Electron Bins Width	Width of each energy bin for electron flux		support_data											
Astro	CDF_CHAR	25	1:[34]	F/T	OOOOO	solo_l2_epd-ept-north-burst-ele-close	Electron_Bins_Text			Electron Bins Text	Text description of each energy bin for electron flux		metadata											
