cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	fieldnam	catdesc	var_notes	units	scalemin	scalemax	validmin	validmax	fillval	depend_0	format	lablaxis	var_type	display_type	coordinate_system	depend_1	labl_ptr_1	monoton	scaletyp	component_0	dict_key	depend_2	funct	labl_ptr_2	virtual	arr_dim	arr_index	chan_name	delta_minus_var	delta_plus_var	flux_ptr	mnemonic	si_conversion	species	time_base	time_scale	variable_purpose	v_parent
CDF_FLOAT	1	1:[27]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates60	Ne_ENERGY_DELTAPLUS	Ne_ENERGY_DELTAPLUS	Plus values for Energy Bins for Ne	[bin_top] - [geometric mean] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	Ne ENERGY DELTAPLUS	support_data						log																			
CDF_FLOAT	1	1:[30]	T/T	OOOOO	psp_isois-epihi_l2-let2-rates60	C_Ca_Rate	C_Ca_Rate	Ca count rate side C		s^-1	0.0	1000.0	0.0	2.0e+07	-1.0e+31	Epoch	F10.1	Ca rate C	data	spectrogram		Ca_ENERGY	Ca_ENERGY_LABL		log		particle_flux&gt;differential_directional_number_rate											C_Ca&gt;rate						
CDF_FLOAT	1	1:[30]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates60	Ca_ENERGY	Ca_ENERGY	Energy Bins for Ca		MeV/n			0.0	1000.0	-1.0e+31		F6.1	Energy	support_data				Ca_ENERGY_LABL		log										Ca_ENERGY_DELTAMINUS	Ca_ENERGY_DELTAPLUS		Ca_ENERGY						
CDF_CHAR	21	1:[30]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates60	Ca_ENERGY_LABL	Ca_ENERGY_LABL	Ca									A21		metadata																									
CDF_FLOAT	1	1:[30]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates60	Ca_ENERGY_DELTAMINUS	Ca_ENERGY_DELTAMINUS	Minus values for Energy Bins for Ca	[geometric mean] - [bin_bottom] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	Ca ENERGY DELTAMINUS	support_data						log																			
CDF_FLOAT	1	1:[30]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates60	Ca_ENERGY_DELTAPLUS	Ca_ENERGY_DELTAPLUS	Plus values for Energy Bins for Ca	[bin_top] - [geometric mean] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	Ca ENERGY DELTAPLUS	support_data						log																			
CDF_FLOAT	1	1:[31]	T/T	OOOOO	psp_isois-epihi_l2-let2-rates60	C_Cr_Rate	C_Cr_Rate	Cr count rate side C		s^-1	0.0	1000.0	0.0	2.0e+07	-1.0e+31	Epoch	F10.1	Cr rate C	data	spectrogram		Cr_ENERGY	Cr_ENERGY_LABL		log		particle_flux&gt;differential_directional_number_rate											C_Cr&gt;rate						
CDF_FLOAT	1	1:[31]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates60	Cr_ENERGY	Cr_ENERGY	Energy Bins for Cr		MeV/n			0.0	1000.0	-1.0e+31		F6.1	Energy	support_data				Cr_ENERGY_LABL		log										Cr_ENERGY_DELTAMINUS	Cr_ENERGY_DELTAPLUS		Cr_ENERGY						
CDF_CHAR	21	1:[31]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates60	Cr_ENERGY_LABL	Cr_ENERGY_LABL	Cr									A21		metadata																									
CDF_FLOAT	1	1:[31]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates60	Cr_ENERGY_DELTAMINUS	Cr_ENERGY_DELTAMINUS	Minus values for Energy Bins for Cr	[geometric mean] - [bin_bottom] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	Cr ENERGY DELTAMINUS	support_data						log																			
CDF_FLOAT	1	1:[31]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates60	Cr_ENERGY_DELTAPLUS	Cr_ENERGY_DELTAPLUS	Plus values for Energy Bins for Cr	[bin_top] - [geometric mean] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	Cr ENERGY DELTAPLUS	support_data						log																			
CDF_FLOAT	1	1:[27]	T/T	OOOOO	psp_isois-epihi_l2-let2-rates60	C_Al_Rate	C_Al_Rate	Al count rate side C		s^-1	0.0	1000.0	0.0	2.0e+07	-1.0e+31	Epoch	F10.1	Al rate C	data	spectrogram		Al_ENERGY	Al_ENERGY_LABL		log		particle_flux&gt;differential_directional_number_rate											C_Al&gt;rate						
CDF_FLOAT	1	1:[27]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates60	Al_ENERGY	Al_ENERGY	Energy Bins for Al		MeV/n			0.0	1000.0	-1.0e+31		F6.1	Energy	support_data				Al_ENERGY_LABL		log										Al_ENERGY_DELTAMINUS	Al_ENERGY_DELTAPLUS		Al_ENERGY						
CDF_CHAR	21	1:[27]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates60	Al_ENERGY_LABL	Al_ENERGY_LABL	Al									A21		metadata																									
CDF_FLOAT	1	1:[27]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates60	Al_ENERGY_DELTAMINUS	Al_ENERGY_DELTAMINUS	Minus values for Energy Bins for Al	[geometric mean] - [bin_bottom] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	Al ENERGY DELTAMINUS	support_data						log																			
CDF_FLOAT	1	1:[27]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates60	Al_ENERGY_DELTAPLUS	Al_ENERGY_DELTAPLUS	Plus values for Energy Bins for Al	[bin_top] - [geometric mean] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	Al ENERGY DELTAPLUS	support_data						log																			
CDF_FLOAT	1	2:[1,9]	T/TT	OOOOO	psp_isois-epihi_l2-let2-rates60	R1C_He_SECT_Flux	R1C_He_SECT_Flux	He sectored flux R1C		cm!E-2!Nsr!E-1!Nsec!E-1!N(MeV/nuc)!E-1!N	0.0	1000.0	0.0	1.0e+10	-1.0e+31	Epoch	F13.1	He flux R1C	data	spectrogram		R1_He_SECT_ENERGY	R1_He_SECT_ENERGY_LABL		log		particle_flux&gt;differential_directional_number	LET2_R1_SECTORS		LET2_R1_SECTORS_LABL					R1C_He_SECT_Uncertainty	R1C_He_SECT_Uncertainty		R1C_He_SECT&gt;flux					PRIMARY_VAR	
CDF_FLOAT	1	2:[1,9]	T/TT	OOOOO	psp_isois-epihi_l2-let2-rates60	R1C_He_SECT_Uncertainty	R1C_He_SECT_Uncertainty	He sectored uncertainty R1C		cm!E-2!Nsr!E-1!Nsec!E-1!N(MeV/nuc)!E-1!N	0.0	1000.0	0.0	1.0e+10	-1.0e+31	Epoch	F13.1	He uncertainty R1C	support_data	spectrogram		R1_He_SECT_ENERGY	R1_He_SECT_ENERGY_LABL		log		particle_flux&gt;differential_directional_number_rate	LET2_R1_SECTORS		LET2_R1_SECTORS_LABL								R1C_He_SECT&gt;uncertainty						
