Data Product ID/Product Key	SPASE Resource ID Stub	DOI, full URL Format	Publication Date	Publisher	Authors
PSP_FLD_L2_DFB_DBM_SCM	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/AC/BurstMemory/SCM/PT0.0068267S	https://doi.org/10.48322/y1e1-8f41	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Dudok de Wit, Thierry; Malaspina, David M.; Bowen, Trevor A.; Goodrich, Katherine A.; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_AC_XSPEC_DV12HG_DV34HG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/AC/CrossSpectra/DV12-DV34/HighGain/PT0.873813S	https://doi.org/10.48322/2a1q-xm10	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Malaspina, David M.; Chasapis, Alexandros; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_AC_XSPEC_SCMDLFHG_SCMELFHG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/AC/CrossSpectra/SCM/D-E/LowFrequency/HighGain/PT0.873813S	https://doi.org/10.48322/kt78-6c57	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Dudok de Wit, Thierry; Malaspina, David M.; Chasapis, Alexandros; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_AC_XSPEC_SCMDLFHG_SCMFLFHG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/AC/CrossSpectra/SCM/D-F/LowFrequency/HighGain/PT0.873813S	https://doi.org/10.48322/scxb-g511	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Dudok de Wit, Thierry; Malaspina, David M.; Chasapis, Alexandros; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_AC_XSPEC_SCMELFHG_SCMFLFHG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/AC/CrossSpectra/SCM/E-F/LowFrequency/HighGain/PT0.873813S	https://doi.org/10.48322/srne-rk07	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Dudok de Wit, Thierry; Malaspina, David M.; Chasapis, Alexandros; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_AC_SPEC_DV12HG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/AC/Spectra/DV12/HighGain/PT0.873813S	https://doi.org/10.48322/rknp-e976	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Malaspina, David M.; Goodrich, Katherine A.; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_AC_SPEC_DV34HG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/AC/Spectra/DV34/HighGain/PT0.873813S	https://doi.org/10.48322/52bj-8b73	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Malaspina, David M.; Goodrich, Katherine A.; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_AC_SPEC_SCMDLFHG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/AC/Spectra/SCM/D/LowFrequency/HighGain/PT0.873813S	https://doi.org/10.48322/ncfd-vr25	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Dudok de Wit, Thierry; Malaspina, David M.; Goodrich, Katherine A.; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_AC_SPEC_SCMELFHG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/AC/Spectra/SCM/E/LowFrequency/HighGain/PT0.873813S	https://doi.org/10.48322/qj28-mq33	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Dudok de Wit, Thierry; Malaspina, David M.; Goodrich, Katherine A.; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_AC_SPEC_SCMFLFHG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/AC/Spectra/SCM/F/LowFrequency/HighGain/PT0.873813S	https://doi.org/10.48322/p0th-a636	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Dudok de Wit, Thierry; Malaspina, David M.; Goodrich, Katherine A.; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_AC_SPEC_SCMULFLG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/AC/Spectra/SCM/U/LowFrequency/HighGain/PT0.873813S	https://doi.org/10.48322/2nwb-7q79	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Dudok de Wit, Thierry; Malaspina, David M.; Goodrich, Katherine A.; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_AC_SPEC_SCMVLFHG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/AC/Spectra/SCM/V/LowFrequency/HighGain/PT0.873813S	https://doi.org/10.48322/83y8-hg94	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Dudok de Wit, Thierry; Malaspina, David M.; Goodrich, Katherine A.; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_AC_SPEC_SCMMF	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/AC/Spectra/SCM/X/MediumFrequency/HighGain/PT0.873813S	https://doi.org/10.48322/16qy-w286	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Dudok de Wit, Thierry; Malaspina, David M.; Goodrich, Katherine A.; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_AC_SPEC_V5HG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/AC/Spectra/V5/HighGain/PT0.873813S	https://doi.org/10.48322/g6gw-8t30	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Malaspina, David M.; Goodrich, Katherine A.; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_DC_BPF_DV12HG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/DC/BandpassFilter/DV12/HighGain/PT0.873813S	https://doi.org/10.48322/j99p-vf52	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Malaspina, David M.; Chasapis, Alexandros; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_DC_BPF_DV34HG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/DC/BandpassFilter/DV34/HighGain/PT0.873813S	https://doi.org/10.48322/p859-3938	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Malaspina, David M.; Chasapis, Alexandros; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_DC_BPF_SCMULFHG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/DC/BandpassFilter/SCM/U/LowFrequency/HighGain/PT0.873813S	https://doi.org/10.48322/q09x-dw27	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Dudok de Wit, Thierry; Malaspina, David M.; Chasapis, Alexandros; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_DC_BPF_SCMVLFHG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/DC/BandpassFilter/SCM/V/LowFrequency/HighGain/PT0.873813S	https://doi.org/10.48322/k7kr-he12	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Dudok de Wit, Thierry; Malaspina, David M.; Chasapis, Alexandros; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
