ASTRO	cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	fieldnam	catdesc	var_notes	var_type	ucd	units	unit_ptr	detector	si_conversion	cadence	resolution	acc_time	time_base	time_scale	integration_time	depend_0	depend_1	depend_2	display_type	format	lablaxis	labl_ptr_1	label	coordinate_system	frame_origin	frame_velocity	reference_position	representation_1	representation_2	tensor_order	fillval	scalemax	scalemin	scaletyp	scaletype	validmax	validmin	bin_location	delta_minus_var	delta_plus_var	monoton
ASTRO	cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	fieldnam	catdesc	var_notes	var_type	ucd	units	unit_ptr	detector	si_conversion	cadence	resolution	acc_time	time_base	time_scale	integration_time	depend_0	depend_1	depend_2	display_type	format	lablaxis	labl_ptr_1	label	coordinate_system	frame_origin	frame_velocity	reference_position	representation_1	representation_2	tensor_order	fillval	scalemax	scalemin	scaletyp	scaletype	validmax	validmin	bin_location	delta_minus_var	delta_plus_var	monoton
ASTRO	CDF_TT2000	1	0:[]	T/	OOOOO	solo_l2_epd-ept-asun-burst-ele-close	EPOCH	Epoch	Nanoseconds since J2000	Start of acquisition interval.	support_data		nanoseconds				1 second											Time										9999-12-31T23:59:59.999999999	2020-06-15T12:37:28.000000000	2020-06-15T12:22:28.000000000	linear		2050-01-01T00:00:00.000000000	2000-01-01T00:00:00.000000000			DELTA_EPOCH	
ASTRO	CDF_UINT4	1	0:[]	T/	OOOOO	solo_l2_epd-ept-asun-burst-ele-close	DELTA_EPOCH	Delta epoch	Accumulation period in seconds		support_data		s										EPOCH				I	Delta epoch										4294967295										
ASTRO	CDF_REAL4	1	1:[34]	T/T	OOOOO	solo_l2_epd-ept-asun-burst-ele-close	Electron_Flux	Electron Flux	Particle flux in foil channel	Ions with energies around 500 keV can penetrate the foil and give a signal in the electron channel. In the presence of high ion flux, there could be a considerable contamination from ions in this product.	data		particles / (s cm^2 sr MeV)			6.2415e16&gt;particles/(s m^2 sr J)							EPOCH	Electron_Bins_Low_Energy		time_series	G10.4	Electron Flux										-1.0e+31	1.0e+08	0.01	log		1.0e+20	0.0		Electron_Uncertainty	Electron_Uncertainty	
ASTRO	CDF_REAL4	1	1:[34]	T/T	OOOOO	solo_l2_epd-ept-asun-burst-ele-close	Electron_Uncertainty	Electron Flux Uncertainty	Uncertainty in electron flux		support_data		particles / (s cm^2 sr MeV)			6.2415e16&gt;particles/(s m^2 sr J)							EPOCH	Electron_Bins_Low_Energy		time_series	G10.4	Electron Flux Sigma										-1.0e+31	1.0e+08	0.01	log		1.0e+20	0.0				
ASTRO	CDF_REAL4	1	1:[34]	T/T	OOOOO	solo_l2_epd-ept-asun-burst-ele-close	Electron_Rate	Electron Count Rate	Particle count rate in foil channel	Affected by contamination from ions with energies ~ 500 keV	support_data		counts / s										EPOCH	Electron_Bins_Low_Energy		time_series	G10.4	Electron Count Rate										-1.0e+31	1.0e+08	0.01	log		1.0e+20	0.0				
ASTRO	CDF_REAL4	1	1:[34]	F/T	OOOOO	solo_l2_epd-ept-asun-burst-ele-close	Electron_Bins_Low_Energy	Electron Bins Low Energy	Lowest energy of each bin for electron flux		support_data		MeV			1.602e-13&gt;J											G10.4		Electron_Bins_Text												log						Electron_Bins_Width	
ASTRO	CDF_REAL4	1	1:[34]	F/T	OOOOO	solo_l2_epd-ept-asun-burst-ele-close	Electron_Bins_Width	Electron Bins Width	Width of each energy bin for electron flux		support_data		MeV			1.602e-13&gt;J											G10.4																					
ASTRO	CDF_CHAR	25	1:[34]	F/T	OOOOO	solo_l2_epd-ept-asun-burst-ele-close	Electron_Bins_Text	Electron Bins Text	Text description of each energy bin for electron flux		metadata																A25																					
ASTRO	CDF_UINT1	1	0:[]	T/	OOOOO	solo_l2_epd-ept-asun-burst-ele-close	QUALITY_FLAG	Quality flag	Data quality flag	0:Bad, 1:Known problems, 2:Survey data, 3:Good, 4:Excellent	support_data												EPOCH				I	Quality flag										255	4	0	linear		4	0				
