Num	Metadata File Name	SPASE Resource ID from XML description	SPASE Revise	SPASE Review	Metadata Contact	Revision Note	Revised SPASE Resource ID	Review Notes
043	NASA/NumericalData/ACE/EPAM/RATES/PT5M.xml	NASA/NumericalData/ACE/EPAM/RATES/PT5M	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, updated one InformationURL URL, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
044	NASA/NumericalData/ACE/EPAM/RATES/PT1H.xml	NASA/NumericalData/ACE/EPAM/RATES/PT1H	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, updated one InformationURL URL, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
045	NASA/NumericalData/ACE/EPAM/RATES/PT12S.xml	NASA/NumericalData/ACE/EPAM/RATES/PT12S	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, updated one InformationURL URL, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
046	NASA/NumericalData/ACE/EPAM/RATES/P1D.xml	NASA/NumericalData/ACE/EPAM/RATES/P1D	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, updated one InformationURL URL, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
047	NASA/NumericalData/ACE/EPAM/MFSA/PT1H.xml	NASA/NumericalData/ACE/EPAM/MFSA/PT1H	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, updated one InformationURL URL, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
048	NASA/NumericalData/ACE/EPAM/MFSA/PT17M.xml	NASA/NumericalData/ACE/EPAM/MFSA/PT17M	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, updated one InformationURL URL, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
049	NASA/NumericalData/ACE/EPAM/MFSA/P1D.xml	NASA/NumericalData/ACE/EPAM/MFSA/P1D	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, updated one InformationURL URL, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
050	NASA/NumericalData/ACE/EPAM/LEMS30/SpacecraftFrame/Sectored/Ion/CountRates/PT5M.xml	NASA/NumericalData/ACE/EPAM/LEMS30/SpacecraftFrame/Sectored/Ion/CountRates/PT5M	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
051	NASA/NumericalData/ACE/EPAM/LEMS30/SpacecraftFrame/Sectored/Ion/CountRates/PT1H.xml	NASA/NumericalData/ACE/EPAM/LEMS30/SpacecraftFrame/Sectored/Ion/CountRates/PT1H	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
052	NASA/NumericalData/ACE/EPAM/LEMS30/SpacecraftFrame/Sectored/Ion/CountRates/PT11.5S.xml	NASA/NumericalData/ACE/EPAM/LEMS30/SpacecraftFrame/Sectored/Ion/CountRates/PT11.5S	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
053	NASA/NumericalData/ACE/EPAM/LEMS30/SpacecraftFrame/Sectored/Ion/CountRates/P1D.xml	NASA/NumericalData/ACE/EPAM/LEMS30/SpacecraftFrame/Sectored/Ion/CountRates/P1D	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
054	NASA/NumericalData/ACE/EPAM/LEMS30/SpacecraftFrame/Sectored/Electron/CountRates/PT5M.xml	NASA/NumericalData/ACE/EPAM/LEMS30/SpacecraftFrame/Sectored/Electron/CountRates/PT5M	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
055	NASA/NumericalData/ACE/EPAM/LEMS30/SpacecraftFrame/Sectored/Electron/CountRates/PT1H.xml	NASA/NumericalData/ACE/EPAM/LEMS30/SpacecraftFrame/Sectored/Electron/CountRates/PT1H	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
056	NASA/NumericalData/ACE/EPAM/LEMS30/SpacecraftFrame/Sectored/Electron/CountRates/PT11.5S.xml	NASA/NumericalData/ACE/EPAM/LEMS30/SpacecraftFrame/Sectored/Electron/CountRates/PT11.5S	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
057	NASA/NumericalData/ACE/EPAM/LEMS30/SpacecraftFrame/Sectored/Electron/CountRates/P1D.xml	NASA/NumericalData/ACE/EPAM/LEMS30/SpacecraftFrame/Sectored/Electron/CountRates/P1D	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
058	NASA/NumericalData/ACE/EPAM/LEMS30/MFSA/SpacecraftFrame/Sectored/Proton/Fluxes/PT1H.xml	NASA/NumericalData/ACE/EPAM/LEMS30/MFSA/SpacecraftFrame/Sectored/Proton/Fluxes/PT1H	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
059	NASA/NumericalData/ACE/EPAM/LEMS30/MFSA/SpacecraftFrame/Sectored/Proton/Fluxes/PT17M.xml	NASA/NumericalData/ACE/EPAM/LEMS30/MFSA/SpacecraftFrame/Sectored/Proton/Fluxes/PT17M	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
060	NASA/NumericalData/ACE/EPAM/LEMS30/MFSA/SpacecraftFrame/Sectored/Proton/Fluxes/P1D.xml	NASA/NumericalData/ACE/EPAM/LEMS30/MFSA/SpacecraftFrame/Sectored/Proton/Fluxes/P1D	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
061	NASA/NumericalData/ACE/EPAM/LEMS30/MFSA/SpacecraftFrame/Sectored/HeavyIon/Fluxes/PT1H.xml	NASA/NumericalData/ACE/EPAM/LEMS30/MFSA/SpacecraftFrame/Sectored/HeavyIon/Fluxes/PT1H	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
062	NASA/NumericalData/ACE/EPAM/LEMS30/MFSA/SpacecraftFrame/Sectored/HeavyIon/Fluxes/PT17M.xml	NASA/NumericalData/ACE/EPAM/LEMS30/MFSA/SpacecraftFrame/Sectored/HeavyIon/Fluxes/PT17M	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
063	NASA/NumericalData/ACE/EPAM/LEMS30/MFSA/SpacecraftFrame/Sectored/HeavyIon/Fluxes/P1D.xml	NASA/NumericalData/ACE/EPAM/LEMS30/MFSA/SpacecraftFrame/Sectored/HeavyIon/Fluxes/P1D	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
064	NASA/NumericalData/ACE/EPAM/LEMS30/MFSA/SolarWindFrame/Sectored/Proton/Fluxes/PT1H.xml	NASA/NumericalData/ACE/EPAM/LEMS30/MFSA/SolarWindFrame/Sectored/Proton/Fluxes/PT1H	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
065	NASA/NumericalData/ACE/EPAM/LEMS30/MFSA/SolarWindFrame/Sectored/Proton/Fluxes/PT17M.xml	NASA/NumericalData/ACE/EPAM/LEMS30/MFSA/SolarWindFrame/Sectored/Proton/Fluxes/PT17M	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
