									
SPASE_PERSON_RESOURCE_ID	FULL_NAME	FIRST_NAME	AUTHORS_GIVEN_NAME	FAMILY_NAME	INITIAL_NAME	AFFILIATION_NAME	AFFILIATION_ROR	MISSION_ACRONYM	NAME_PATTERN
SMWG/Person/Alain.Kerdraon	Alain Kerdraon	Alain	Alain	Kerdraon	A. Kerdraon	Observatoire de Paris			N_N
SMWG/Person/Alain.L.Fymat	Alain L. Fymat	Alain	Alain, L.	Fymat	A.L. Fymat	Veterans Health Administration			N_I_N
SMWG/Person/Alain.Lecacheux	Alain Lecacheux	Alain	Alain	Lecacheux	A. Lecacheux	Observatoire de Paris			N_N
SMWG/Person/Alain.Paillous	Alain Paillous	Alain	Alain	Paillous	A. Paillous	Centre d&apos;Etudes et de Recherches			N_N
SMWG/Person/Alain.Ratier	Alain Ratier	Alain	Alain	Ratier	A. Ratier	EUMETSAT			N_N
SMWG/Person/Alain.Raviart	Alain Raviart	Alain	Alain	Raviart	A. Raviart	Centre d&apos;Etudes Nucleaires de Saclay			N_N
SMWG/Person/Alain.Roux	Alain Roux	Alain	Alain	Roux	A. Roux	CNRS Centre de Recherches en Physique de L Environ		THEMIS	N_N
SMWG/Person/Alain.Soufflot	Alain Soufflot	Alain	Alain	Soufflot	A. Soufflot	Institut d&apos;Astrophsique Spatiale			N_N
SMWG/Person/Alan-Henri.Gabriel	Alan-Henri Gabriel	Alan-Henri	Alan-Henri	Gabriel	A. Gabriel	Universite Paris Sud			N_N
SMWG/Person/Alan.B.Binder	Alan B. Binder	Alan	Alan, B.	Binder	A.B. Binder	Lockheed Martin Missiles and Space			N_I_N
SMWG/Person/Alan.Boyde	Alan Boyde	Alan	Alan	Boyde	A. Boyde	University College London			N_N
SMWG/Person/Alan.C.Cummings	Alan C. Cummings	Alan	Alan, C.	Cummings	A.C. Cummings	California Institute of Technology			N_I_N
SMWG/Person/Alan.D.Johnstone	Alan D. Johnstone	Alan	Alan, D.	Johnstone	A.D. Johnstone	deceased - formerly at Mullard Space Science Laboratory of University College of London		AMPTE-UKS	N_I_N
SMWG/Person/Alan.E.Hedin	Alan E. Hedin	Alan	Alan, E.	Hedin	A.E. Hedin	Retired - formerly at GSFC-Code 914			N_I_N
SMWG/Person/Alan.F.Cook.II	Alan F. Cook, II	Alan	Alan, F.	Cook, II	A.F. Cook, II	Smithsonian Astrophysical Observatory			N_I_N
SMWG/Person/Alan.H.Soanes	Alan H. Soanes	Alan	Alan, H.	Soanes	A.H. Soanes	Xerox Corporation			N_I_N
SMWG/Person/Alan.J.Lazarus	Alan J. Lazarus	Alan	Alan, J.	Lazarus	A.J. Lazarus	Massachusetts Institute of Technology		Explorer33 Explorer35 IMP8 Weygand Wind	N_I_N
